统计日期,实验名称,实验组,产品线,淘金source四级分类,淘金source五级分类,系统,下载渠道,是否纯新用户,app一级品类,app二级品类集合,推送类型,课程二级品类
2023/11/18,YY_ky,fangshi,高途,新人引导-学习规划师,规划师-弹窗推课,IOS,app store,0,英语提升,口语提升 词汇/语法 ,弹窗,英语
2023/11/19,gaozhong_9ysg3_1,1123_QA_Q,高途,,,Android,vivo,0,高中,高三  ,,
2023/11/20,,,高途,新人引导-学习规划师,规划师-弹窗推课,Android,danding10,1,家庭教育,青春期  ,弹窗,亲子关系
2023/11/21,XLZXS,nianling,高途,新人引导-学习规划师,规划师-弹窗推课,Android,danding1,1,,心理咨询师  ,弹窗,心理咨询师
2023/11/22,,,高途,,,IOS,app store,0,公职,事业单位  ,弹窗,
2023/11/23,,,高途,,,Android,huawei,1,考研,考研专业课 考研规划课 考研公共课,弹窗,
2023/11/24,,,高途,,,Android,huawei,0,,科学1 脑力 ,弹窗,
2023/11/25,,,高途,新人引导-学习规划师,规划师-弹窗推课,Android,youyou2,1,小学初中,初中  ,弹窗,九年级
2023/11/26,gaozhong_9ysg2_1,1123_QA_H,高途,新人引导-学习规划师,规划师-链接推课,Android,oppo,0,高中,高二  ,,高二
2023/11/27,xiaoxue_1201QA,control,高途,新人引导-学习规划师,规划师-弹窗推课,Android,huawei,0,小学初中,小学  ,弹窗,3-4年级
2023/11/28,gaoyi_tuikexingshi,JY_h5,规划精品,,,Android,qqq,0,高中,高一  ,,
2023/11/29,ZLSN,PINCI,高途,,,Android,danding4,0,家庭教育,整理收纳  ,弹窗,
2023/11/30,gaozhong_9ysg3_1,1123_QA_H,高途,,,Android,baidu-search,1,高中,高三  ,,
2023/12/1,,,高途,,,IOS,app store,0,,,弹窗,
2023/12/2,,,高途,,,Android,danding3,1,考研,考研公共课 考研规划课 考研专业课,弹窗,
2023/12/3,,,高途,新人引导-学习规划师,规划师-弹窗推课,Android,vivo,1,公职,公务员  ,弹窗,公务员
2023/12/4,,,高途,,,Android,xiaomi,0,高中,高三  ,,
2023/12/5,,,高途,,,IOS,app store,0,公职,事业单位 公务员 ,,
2023/12/6,,,高途,,,Android,danding3,1,考研,考研专业课 考研规划课 考研公共课,弹窗,
2023/12/7,XLZXS,nianling,高途,新人引导-学习规划师,规划师-弹窗推课,Android,youyou1,1,心理咨询师,心理咨询师  ,弹窗,心理咨询师
2023/12/8,,,高途,,,Android,danding5,1,家庭教育,心理咨询师  ,弹窗,
2023/12/9,YY_cihui,control,高途,,,Android,oppo,0,英语提升,词汇/语法 口语提升 ,,
2023/12/10,,,规划精品,新人引导-学习规划师,新人引导-学习规划师,Android,huawei,0,高中,高二  ,弹窗,学习分享
2023/12/11,,,高途,,,Android,huawei,1,小学初中,初中  ,弹窗,
2023/12/12,,,途途,,,Android,huawei_tutu,1,初中,初二  ,,
2023/12/13,,,高途,新人引导-学习规划师,规划师-弹窗推课,Android,vivo,1,考研,考研公共课 管综 考研专业课,弹窗,考研
2023/12/14,CPA_xxzd,control,高途,新人引导-学习规划师,规划师-弹窗推课,Android,huawei,0,财经,CPA 中级会计 ,弹窗,CPA
2023/12/15,,,途途,,,Android,huawei,1,小学,三年级  ,,